0,0,0,0
69.999,19.6,1,1
71,19.5,2,1
72,19.5,3,1
72.999,19.5,4,1
74,19.4,5,1
75.001,19.4,6,1
76.002,19.4,7,1
76.999,19.4,8,1
78.002,19.4,9,1
79,19.4,10,1
80,19.3,11,1
81,19.4,12,1
82,19.4,13,1
83,19.4,14,1
84,19.4,15,1
85,19.4,16,1
86,19.4,17,1
87,19.5,18,1
88,19.5,19,1
89,19.5,20,1
90,19.6,21,1
91,19.6,22,1
92,19.7,23,1
93,19.7,24,1
94,19.8,25,1
95,19.8,26,1
96,19.9,27,1
96.999,19.9,28,1
98,20,29,1
99,20,30,1
100,20.1,31,1
101,20.1,32,1
102,20.2,33,1
103,20.2,34,1
104,20.3,35,1
105,20.3,36,1
106,20.4,37,1
107,20.4,38,1
108,20.5,39,1
109,20.5,40,1
110,20.6,41,1
111,20.7,42,1
112,20.7,43,1
113,20.8,44,1
114,20.8,45,1
115,20.9,46,1
116,20.9,47,1
117,20.9,48,1
118,20.9,49,1
119,21,50,1
120,21,51,1
120,21.1,52,0
119,21.1,53,0
118,21.2,54,0
117,21.2,55,0
116,21.2,56,0
115,21.3,57,0
114,21.3,58,0
113,21.3,59,0
112,21.4,60,0
111,21.4,61,0
110,21.4,62,0
109,21.5,63,0
108,21.5,64,0
107,21.5,65,0
106,21.6,66,0
105,21.6,67,0
104,21.6,68,0
103,21.7,69,0
102,21.7,70,0
101,21.7,71,0
100,21.8,72,0
99,21.8,73,0
98,21.8,74,0
97,21.8,75,0
96,21.9,76,0
95,21.9,77,0
94,22,78,0
93,22,79,0
92,22,80,0
91,22,81,0
90,22.1,82,0
89,22.1,83,0
88,22.1,84,0
87,22.1,85,0
86,22.2,86,0
85,22.2,87,0
84,22.2,88,0
83,22.3,89,0
82,22.3,90,0
81,22.3,91,0
80,22.3,92,0
79,22.4,93,0
78,22.4,94,0
77,22.4,95,0
76,22.4,96,0
75,22.5,97,0
74,22.5,98,0
73,22.5,99,0
72,22.5,100,0
71,22.6,101,0
70,22.6,102,0
