0,0,0
0.35095,-0.55328,-56.702,1,1
0.34987,-0.5567,-56.707,2,1
0.35005,-0.55526,-56.71,3,1
0.35293,-0.55544,-56.71,4,1
0.35455,-0.55202,-56.712,5,1
0.3578,-0.54734,-56.705,6,1
0.35419,-0.55004,-56.704,7,1
0.36212,-0.55148,-56.712,8,1
0.3632,-0.5513,-56.709,9,1
0.35978,-0.54572,-56.715,10,1
0.36302,-0.54626,-56.719,11,1
0.36482,-0.54716,-56.716,12,1
0.36446,-0.54662,-56.718,13,1
0.3623,-0.5531,-56.721,14,1
0.36374,-0.54734,-56.718,15,1
0.36464,-0.54572,-56.718,16,1
0.3605,-0.53851,-56.715,17,1
0.36554,-0.54122,-56.721,18,1
0.36392,-0.53725,-56.721,19,1
-27.657,-0.54464,-49.253,1,2
-25.98,9.0208,-49.259,2,2
-21.114,17.447,-49.25,3,2
-13.625,23.716,-49.251,4,2
-4.5031,27.052,-49.242,5,2
5.1934,27.061,-49.25,6,2
14.323,23.724,-49.254,7,2
21.775,17.448,-49.253,8,2
26.621,9.0161,-49.257,9,2
28.32,-0.53059,-49.251,10,2
26.622,-10.078,-49.249,11,2
21.803,-18.493,-49.264,12,2
14.364,-24.72,-49.267,13,2
5.2303,-28.031,-49.261,14,2
-4.4562,-28.034,-49.255,15,2
-13.601,-24.714,-49.256,16,2
-21.085,-18.499,-49.257,17,2
-25.95,-10.075,-49.255,18,2
-27.636,-0.52087,-49.261,19,2
-48.197,-0.50521,-28.793,1,3
-45.277,16.068,-28.795,2,3
-36.852,30.707,-28.779,3,3
-23.916,41.564,-28.784,4,3
-8.0597,47.357,-28.783,5,3
8.7317,47.356,-28.785,6,3
24.546,41.555,-28.782,7,3
37.42,30.701,-28.785,8,3
45.824,16.073,-28.787,9,3
48.756,-0.51133,-28.789,10,3
45.842,-17.077,-28.783,11,3
37.463,-31.601,-28.783,12,3
24.597,-42.405,-28.792,13,3
8.7834,-48.156,-28.795,14,3
-8.0154,-48.152,-28.796,15,3
-23.876,-42.406,-28.785,16,3
-36.813,-31.598,-28.789,17,3
-45.265,-17.057,-28.789,18,3
-48.194,-0.50143,-28.792,19,3
-55.746,-0.48613,-0.83448,1,4
-52.36,18.641,-0.83376,2,4
-42.611,35.557,-0.83646,3,4
-27.695,48.095,-0.837,4,4
-9.3796,54.76,-0.82638,5,4
10.04,54.763,-0.83232,6,4
28.277,48.093,-0.82998,7,4
43.161,35.557,-0.82116,8,4
52.862,18.628,-0.8298,9,4
56.226,-0.49423,-0.82926,10,4
52.89,-19.623,-0.83034,11,4
43.195,-36.413,-0.83016,12,4
28.324,-48.901,-0.82602,13,4
10.094,-55.543,-0.81684,14,4
-9.3081,-55.536,-0.8325,15,4
-27.652,-48.894,-0.82476,16,4
-42.576,-36.408,-0.82188,17,4
-52.354,-19.623,-0.82782,18,4
-55.746,-0.49495,-0.82458,19,4
-48.226,-0.49657,27.143,1,5
-45.308,16.069,27.167,2,5
-36.859,30.713,27.157,3,5
-23.941,41.576,27.167,4,5
-8.0851,47.377,27.162,5,5
8.7139,47.374,27.164,6,5
24.519,41.586,27.17,7,5
37.411,30.711,27.177,8,5
45.811,16.083,27.168,9,5
48.736,-0.47785,27.168,10,5
45.83,-17.058,27.169,11,5
37.442,-31.578,27.175,12,5
24.566,-42.394,27.169,13,5
8.7738,-48.15,27.159,14,5
-8.0408,-48.146,27.158,15,5
-23.882,-42.396,27.17,16,5
-36.84,-31.596,27.168,17,5
-45.292,-17.044,27.164,18,5
-48.234,-0.49279,27.164,19,5
-27.69,-0.48613,47.644,1,6
-26.015,9.0664,47.643,2,6
-21.146,17.484,47.655,3,6
-13.662,23.753,47.65,4,6
-4.5403,27.102,47.648,5,6
5.1718,27.095,47.658,6,6
14.292,23.76,47.66,7,6
21.727,17.489,47.66,8,6
26.585,9.0568,47.662,9,6
28.27,-0.49135,47.667,10,6
26.58,-10.054,47.658,11,6
21.74,-18.458,47.664,12,6
14.306,-24.694,47.666,13,6
5.1889,-28.002,47.663,14,6
-4.5135,-27.995,47.667,15,6
-13.651,-24.684,47.669,16,6
-21.125,-18.459,47.65,17,6
-26,-10.05,47.667,18,6
-27.69,-0.48847,47.665,19,6
0.32449,-0.50179,55.151,1,7
0.33115,-0.50233,55.153,2,7
0.32899,-0.50053,55.154,3,7
0.32431,-0.49405,55.152,4,7
0.32773,-0.50251,55.158,5,7
0.32323,-0.50179,55.157,6,7
0.32449,-0.50125,55.159,7,7
0.32899,-0.50305,55.154,8,7
0.32305,-0.49927,55.157,9,7
0.32647,-0.50197,55.158,10,7
0.31945,-0.49711,55.158,11,7
0.32431,-0.50485,55.158,12,7
0.32341,-0.50899,55.155,13,7
0.32089,-0.50557,55.157,14,7
0.32017,-0.49945,55.159,15,7
0.32053,-0.50071,55.157,16,7
0.31927,-0.50377,55.16,17,7
0.32143,-0.50449,55.156,18,7
0.31909,-0.50395,55.165,19,7
