0,0,0,0
100,13.8,10313
100,22.8,10374
100,29.6,10435
100,35,10496
100,39.6,10557
99.999,43.8,10618
100,47.5,10679
100,50.9,10740
100,54.1,10801
100,57.2,10862
100,60.1,10923
100,62.8,10984
100,64.8,11045
100,58.9,14721
100,52.3,14782
100,48.3,14843
100,45.2,14904
100,42.6,14965
100,40.4,15026
100,38.4,15087
99.999,36.6,15148
100,34.9,15209
100,33.4,15270
100,31.9,15331
99.999,30.6,15392
100,29.2,15453
100,27.9,15514
100,26.7,15575
100,25.5,15636
100,24.3,15697
100,23.1,15758
100,22,15819
100,20.9,15880
100,19.8,15941
100,18.7,16002
100,17.6,16063
100,16.5,16124
100,15.5,16185
100,14.4,16246
100,13.4,16307
99.999,12.4,16368
100,11.4,16429
100,10.4,16490
100,9.3,16551
100,8.3,16612
100,7.3,16673
100,6.3,16734
100,5.5,16795
