0,0,0
-9.426,-0.30365,63.676,-17.946,42.564,303.41,9,1
-9.7589,0.032066,63.498,-18.279,42.9,303.23,9,1
-9.7491,-0.30717,63.341,-18.269,42.561,303.07,9,1
-9.7658,0.031422,63.829,-18.286,42.899,303.56,10,1
-10.09,-0.31231,63.834,-18.61,42.555,303.57,10,1
-10.251,-0.14397,63.497,-18.771,42.724,303.23,10,1
-9.5907,-0.13563,63.504,-18.111,42.732,303.24,10,1
-10.25,0.026135,63.327,-18.771,42.894,303.06,10,1
-9.7522,-0.13739,63.337,-18.273,42.73,303.07,10,1
-10.257,0.02549,63.658,-18.778,42.893,303.39,10,1
-9.4292,-0.13387,63.671,-17.95,42.734,303.4,10,1
-9.9179,-0.47968,63.675,-18.438,42.388,303.41,10,1
-10.257,0.02549,63.658,-18.778,42.893,303.39,10,1
-10.09,-0.31231,63.834,-18.61,42.555,303.57,11,1
-9.7561,-0.30782,63.672,-18.276,42.56,303.4,11,1
-9.9242,-0.14012,63.666,-18.445,42.728,303.4,11,1
-10.419,0.023727,63.49,-18.939,42.891,303.22,11,1
-9.439,0.20537,63.828,-17.959,43.073,303.56,11,1
-10.254,0.025814,63.492,-18.774,42.894,303.22,11,1
-9.762,0.20184,63.493,-18.282,43.07,303.23,11,1
-10.25,0.026135,63.327,-18.771,42.894,303.06,11,1
-9.7494,-0.47727,63.511,-18.27,42.39,303.24,11,1
-9.7589,0.032066,63.498,-18.279,42.9,303.23,11,1
-10.086,-0.14188,63.498,-18.606,42.726,303.23,12,1
-10.244,-0.48352,63.505,-18.765,42.384,303.24,12,1
-10.086,-0.14188,63.498,-18.606,42.726,303.23,12,1
-10.085,0.028221,63.329,-18.606,42.896,303.06,12,1
-10.251,-0.31407,63.667,-18.771,42.554,303.4,12,1
-10.092,0.027577,63.66,-18.613,42.895,303.39,12,1
-10.096,0.19735,63.655,-18.616,43.065,303.39,12,1
-10.591,0.020996,63.82,-19.111,42.889,303.55,12,1
-9.6005,0.20361,63.661,-18.121,43.071,303.39,12,1
-9.7624,0.031746,63.663,-18.283,42.899,303.4,12,1
-9.5907,-0.13563,63.504,-18.111,42.732,303.24,13,1
-10.089,0.198,63.324,-18.609,43.066,303.06,13,1
-9.9207,-0.1398,63.5,-18.441,42.728,303.23,13,1
-9.9176,-0.30958,63.505,-18.438,42.558,303.24,13,1
-9.7658,0.031422,63.829,-18.286,42.899,303.56,13,1
-9.7526,-0.3075,63.506,-18.273,42.56,303.24,13,1
-9.6043,0.033184,63.996,-18.125,42.901,303.73,13,1
-9.5973,0.033829,63.665,-18.118,42.902,303.4,13,1
-10.086,-0.31199,63.668,-18.606,42.556,303.4,13,1
-10.254,0.025814,63.492,-18.774,42.894,303.22,13,1
-9.7627,-0.13836,63.833,-18.283,42.729,303.57,14,1
